"model","prod_date","year","propulsion"
Honda Civic,2021-06-20,2021,gas
BMW i3,2022-09-15,2022,electric
Hyundai Kona,2023-02-10,2023,hybrid
Chevrolet Bolt,2024-01-05,2024,electric
Volkswagen Golf,2020-05-30,2020,gas
Toyota Corolla,2019-07-12,2019,gas
Ford Mustang,2020-11-22,2020,gas
Tesla Model 3,2021-08-30,2021,electric
Nissan Leaf,2022-03-15,2022,electric
Mazda CX-5,2018-06-18,2018,gas
Subaru Outback,2019-09-25,2019,gas
Mercedes-Benz EQC,2023-04-14,2023,electric
Porsche Taycan,2022-12-10,2022,electric
Jeep Wrangler,2020-10-05,2020,gas
Fiat 500e,2021-07-20,2021,electric
Kia Niro,2023-01-08,2023,hybrid
Audi e-tron,2024-02-28,2024,electric
Peugeot 208,2020-03-17,2020,gas
Renault Zoe,2021-05-09,2021,electric
Chevrolet Silverado,2019-12-21,2019,gas
