"claim_key","vehicle_id","repair_date","client_comment","tech_comment","classifed_failured","location_id","purchance_id"
1,1,2024-01-10,general client comment sample,general tech comment sample,general classifed failured sample,1,1
2,2,2024-02-15,general client comment sample,general tech comment sample,general classifed failured sample,2,2
3,3,2024-03-20,general client comment sample,general tech comment sample,general classifed failured sample,3,3
4,4,2024-04-05,general client comment sample,general tech comment sample,general classifed failured sample,4,4
5,5,2024-05-12,general client comment sample,general tech comment sample,general classifed failured sample,5,5
6,6,2024-06-18,general client comment sample,general tech comment sample,general classifed failured sample,6,6
7,7,2024-07-22,general client comment sample,general tech comment sample,general classifed failured sample,7,7
8,8,2024-08-30,general client comment sample,general tech comment sample,general classifed failured sample,8,8
9,9,2024-09-10,general client comment sample,general tech comment sample,general classifed failured sample,9,9
10,10,2024-10-05,general client comment sample,general tech comment sample,general classifed failured sample,10,10
11,11,2024-11-01,general client comment sample,general tech comment sample,general classifed failured sample,11,11
12,12,2024-12-12,general client comment sample,general tech comment sample,general classifed failured sample,12,12
13,13,2025-01-18,general client comment sample,general tech comment sample,general classifed failured sample,13,13
14,14,2025-02-25,general client comment sample,general tech comment sample,general classifed failured sample,14,14
